ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota
16,f0174,foto,Clara,7-1.jpg,3.93,0.7,64.94,68.87,3.23,2.53,Zoom in,Clarinha  e  as  pombas,fundo,6.0,-34.6,,
17,f0186,foto,Clara,8.jpg,3.93,0.7,68.17,72.1,3.23,2.53,Zoom in,"Era endiabrada, mas também encantadora.",fiel,6.0,-34.6,,
18,f0176,foto,Clara,8-1.jpg,3.7,0.7,71.4,75.1,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
19,f0177,foto,Clara,8-3.jpg,3.93,0.7,74.4,78.33,3.23,2.53,Zoom in,E clarividente,fundo,6.0,-34.6,,
20,f0179,foto,Clara,8-5.jpg,4.15,0.7,77.63,81.78,3.45,2.75,Zoom in,Desde muito cedo criou uma  grande empatia com colegas e amigos,fundo,7.0,-40.7,,
21,f0184,foto,Clara,8-9-2.jpg,4.38,0.7,81.08,85.46,3.68,2.98,Zoom in,"Aos 8 anos recebeu o primeiro pedido de  casamento, uma aliança feita de  uma argola de porta-chaves...",fundo,8.0,-45.3,,
22,f0236,foto,Clara,9.1.jpg,3.93,0.7,84.76,88.69,3.23,2.53,Zoom in,Já usou um  penteado à  Emma Watson,fundo,6.0,-34.6,,
23,f0237,foto,Clara,9.4.JPG,3.7,0.7,87.99,91.69,3.0,2.3,Zoom in,Aos 16 anos,fiel,5.0,-26.0,,
24,f0235,foto,Clara,9-5.JPG,3.7,0.7,90.99,94.69,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,
25,f0221,foto,Clara,9-2.jpg,3.93,0.7,93.99,97.92,3.23,2.53,Zoom in,Aos 18 anos,fiel,6.0,-34.6,,
26,f0213,foto,Clara,9-14.JPG,3.93,0.7,97.22,101.15,3.23,2.53,Zoom in,Foi sempre irreverente...,fiel,6.0,-34.6,,
27,f0039,foto,Clara,19-1.JPG,3.7,0.7,100.45,104.15,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
28,f0040,foto,Clara,19-2.JPG,4.15,0.7,103.45,107.6,3.45,2.75,Zoom in,E comunicativa (No Rock in Rio Lisboa),fiel,7.0,-40.7,,
29,f0211,foto,Clara,9-12.JPG,4.6,0.7,106.9,111.5,3.9,3.2,Zoom in,Colaborando com uma  estátua viva  em Barcelona,fundo,9.0,-48.8,,
30,f0212,foto,Clara,9-13.JPG,3.7,0.7,110.8,114.5,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
31,f0217,foto,Clara,9-15.JPG,4.83,0.7,113.8,118.63,4.13,3.43,Zoom in,"Com um vendedor de artesanato no vulcão Etna  (Sicília). ""Chiara, siediti qui per una foto.""",fiel,10.0,-51.7,,
32,f0214,foto,Clara,9-15-1.JPG,3.93,0.7,117.93,121.86,3.23,2.53,Zoom in,"Com o Miguel Araújo, na Feira do Livro.",fiel,6.0,-34.6,,
33,f0215,foto,Clara,9-15-2.jpg,3.93,0.7,121.16,125.09,3.23,2.53,Zoom in,Numa Ação de  Voluntariado  Morais Leitão,fiel,6.0,-34.6,,
34,f0216,foto,Clara,9-15-4.jpg,4.83,0.7,124.39,129.22,4.13,3.43,Nenhum,Orgulhosa do primeiro automóvel. Com ele    iria ganhar... algumas multas por excesso                                                      de  velocidade...,fiel,10.0,-51.7,,
35,f0218,foto,Clara,9-16.JPG,4.15,0.7,128.52,132.67,3.45,2.75,Zoom in,Eterna fã do Harry Potter (Local de filmagens em  Londres)...,fundo,7.0,-40.7,,
36,f0219,foto,Clara,9-17.JPG,4.15,0.7,131.97,136.12,3.45,2.75,Zoom in,"Do ""Game of Thrones"". (Local de  filmagens na Croácia)...",fundo,7.0,-40.7,,
37,f0220,foto,Clara,9-18.JPG,3.93,0.7,135.42,139.35,3.23,2.53,Zoom in,E de futebolistas...,fundo,6.0,-34.6,,
38,f0222,foto,Clara,9-23.JPG,3.7,0.7,138.65,142.35,3.0,2.3,Zoom in,Gosta de festas...,fiel,5.0,-26.0,,
39,f0229,foto,Clara,9-24.JPG,3.7,0.7,141.65,145.35,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
40,f0223,foto,Clara,9-24-1.JPG,3.7,0.7,144.65,148.35,3.0,2.3,Zoom in,E de convívios,fundo,5.0,-26.0,,
41,f0225,foto,Clara,9-24-4.jpeg,3.93,0.7,147.65,151.58,3.23,2.53,Zoom in,Gosta de  futebol  e  adora  o FCP,fundo,6.0,-34.6,,
42,f0226,foto,Clara,9-24-5.JPG,4.15,0.7,150.88,155.03,3.45,2.75,Zoom in,Quando lhe  dizem  que o FCP  vai perder...,fiel,7.0,-40.7,,
43,f0054,foto,Clara,20260623_201228.jpg,3.81,0.7,154.33,158.14,3.11,2.41,Zoom in,No Mundial  de futebol  2026,fundo,5.5,-30.7,,
44,f0298,foto,Clara,Scanner_20260814.jpg,3.93,0.7,157.44,161.37,3.23,2.53,Zoom in,É desde sempre  apaixonada por cães,fiel,6.0,-34.6,,
45,f0231,foto,Clara,9-26.JPG,3.7,0.7,160.67,164.37,3.0,2.3,Zoom in,Pelos dela...,fiel,5.0,-26.0,,
46,f0232,foto,Clara,9-27.JPG,3.7,0.7,163.67,167.37,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,
47,f0233,foto,Clara,9-28.JPG,3.7,0.7,166.67,170.37,3.0,2.3,Zoom in,... E pelos dos outros.,fiel,5.0,-26.0,,
48,f0146,foto,,21-49-54.jpg,4.2,0.7,169.67,173.87,3.5,2.8,Zoom in,"E o Tiago, com a Sky",fiel,,,,"encadeamento 1: Os caes dela, o cao dele, a cadela dos dois"
49,f0354,foto,,2014_Clara_Tiago_Praia_Mia_cadela_clara.jpg,5.5,0.7,173.17,178.67,4.8,4.1,Zoom in,"2014, os dois com a Mia",fiel,,,,"encadeamento 1: Os caes dela, o cao dele, a cadela dos dois"
50,f0234,foto,Clara,9-29.JPG,3.93,0.7,177.97,181.9,3.23,2.53,Zoom in,,fiel,6.0,-34.6,,
51,f0042,foto,Clara,20-1.jpg,3.93,0.7,181.2,185.13,3.23,2.53,Zoom in,Aprecia atividades  ao ar livre,fiel,6.0,-34.6,,
52,f0043,foto,Clara,20-2.JPG,3.7,0.7,184.43,188.13,3.0,2.3,Zoom in,"Velozes,  de preferência...",fiel,5.0,-26.0,,
53,f0044,foto,Clara,20-3.JPG,4.15,0.7,187.43,191.58,3.45,2.75,Nenhum,"Velozes,  de preferência...",fiel,7.0,-40.7,,
54,f0045,foto,Clara,20-4.png,4.15,0.7,190.88,195.03,3.45,2.75,Nenhum,... E com adrenalina...,fiel,7.0,-40.7,,
55,f0067,foto,Clara,21-2.jpg,3.93,0.7,194.33,198.26,3.23,2.53,Zoom in,"Não gosta de perder, nem a feijões. Preparando-se para fazer um strike...",fiel,6.0,-34.6,,
56,f0077,foto,Clara,21-3.jpg,4.15,0.7,197.56,201.71,3.45,2.75,Zoom in,Sem medos...,fiel,7.0,-40.7,,
57,f0083,foto,Clara,21-4.JPG,4.15,0.7,201.01,205.16,3.45,2.75,Zoom in,Sem comentários...,fiel,7.0,-40.7,,
58,f0046,foto,Clara,20.JPG,3.7,0.7,204.46,208.16,3.0,2.3,Zoom in,Cena de filme à Marilyn Monroe,fundo,5.0,-26.0,,
59,f0154,foto,Clara,21-5.JPG,4.94,0.7,207.46,212.4,4.24,3.54,Zoom in,"Mas nem tudo é diversão. Estudando na véspera  do exame de Físico- -Química, na festa da  Comunhão da Irene...",fiel,10.5,-52.9,,
60,f0159,foto,Clara,21-6.jpg,4.15,0.7,211.7,215.85,3.45,2.75,Zoom in,"Praxe. A alcunha de  Caloira era ""Rapunzel  Sabichónis"".",fundo,7.0,-40.7,,
61,f0161,foto,Clara,21-7.JPG,4.15,0.7,215.15,219.3,3.45,2.75,Zoom in,Cortejo da Queima das Fitas 2017.  Onde está a Wally?,fiel,7.0,-40.7,,
62,f0163,foto,Clara,21-9.JPG,4.6,0.7,218.6,223.2,3.9,3.2,Zoom in,Em 2018 foi eleita para representar a  Faculdade na competição  Moot Court Direito da Concorrência,fiel,9.0,-48.8,,
63,f0056,foto,Clara,21-10.JPG,4.38,0.7,222.5,226.88,3.68,2.98,Zoom in,E ganhou o Prémio de Melhor Oradora  pela FDUP,fiel,8.0,-45.3,,
64,f0284,foto,Clara,IMG_7790.JPG,3.7,0.7,226.18,229.88,3.0,2.3,Zoom in,Finalista de Direito,fundo,5.0,-26.0,,
65,f0060,foto,Clara,21-11.jpeg,4.15,0.7,229.18,233.33,3.45,2.75,Zoom in,"Passeios. O verbo ""ir""  é o que  melhor sabe  conjugar.",fundo,7.0,-40.7,,
66,f0057,foto,Clara,21-11-1.JPG,3.7,0.7,232.63,236.33,3.0,2.3,Zoom in,Em Serralves,fiel,5.0,-26.0,,
67,f0058,foto,Clara,21-11-2.JPG,3.7,0.7,235.63,239.33,3.0,2.3,Zoom in,Em Sintra,fiel,5.0,-26.0,,
68,f0059,foto,Clara,21-11-3.jpg,3.7,0.7,238.63,242.33,3.0,2.3,Zoom in,Em Setúbal,fiel,5.0,-26.0,,
69,f0061,foto,Clara,21-12.JPG,3.7,0.7,241.63,245.33,3.0,2.3,Zoom in,Nos Açores,fiel,5.0,-26.0,,
70,f0062,foto,Clara,21-13.JPG,3.7,0.7,244.63,248.33,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,
71,f0063,foto,Clara,21-15.JPG,3.7,0.7,247.63,251.33,3.0,2.3,Zoom in,Na Croácia,fiel,5.0,-26.0,,
72,f0064,foto,Clara,21-16.JPG,3.7,0.7,250.63,254.33,3.0,2.3,Zoom in,Na Croácia,fundo,5.0,-26.0,,
73,f0079,foto,Clara,21-31.jpg,3.7,0.7,253.63,257.33,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,
74,f0078,foto,Clara,21-30.JPG,3.7,0.7,256.63,260.33,3.0,2.3,Zoom in,Em Bruges,fiel,5.0,-26.0,,
75,f0065,foto,Clara,21-17.JPG,3.93,0.7,259.63,263.56,3.23,2.53,Zoom in,No Parlamento de Budapeste,fiel,6.0,-34.6,,
76,f0066,foto,Clara,21-18.JPG,3.7,0.7,262.86,266.56,3.0,2.3,Zoom in,Na Sicília. Siracusa;,fiel,5.0,-26.0,,
77,f0076,foto,Clara,21-29.jpeg,3.93,0.7,265.86,269.79,3.23,2.53,Zoom in,Em Taormina,fiel,6.0,-34.6,,
78,f0068,foto,Clara,21-20.JPG,3.93,0.7,269.09,273.02,3.23,2.53,Zoom in,Na Alemanha.  Em Dinkelsbuhl;,fiel,6.0,-34.6,,
79,f0072,foto,Clara,21-24.jpeg,4.15,0.7,272.32,276.47,3.45,2.75,Zoom in,Em Wurzburg (Ponte Alte Mainbrucke);,fiel,7.0,-40.7,,
80,f0070,foto,Clara,21-22.jpeg,4.15,0.7,275.77,279.92,3.45,2.75,Zoom in,"Em Schwangau,  contemplando o Castelo de  Neuschwanstein;",fiel,7.0,-40.7,,
81,f0272,foto,Clara,IMG_4362.JPG,3.7,0.7,279.22,282.92,3.0,2.3,Zoom in,Em Frankfurt,fiel,5.0,-26.0,,
82,f0069,foto,Clara,21-21.JPG,3.7,0.7,282.22,285.92,3.0,2.3,Zoom in,Em Bratislava,fundo,5.0,-26.0,,
83,f0073,foto,Clara,21-25.JPG,3.7,0.7,285.22,288.92,3.0,2.3,Zoom in,"Em Roma, espelho de rua.",fiel,5.0,-26.0,,
84,f0071,foto,Clara,21-23.jpg,4.6,0.7,288.22,292.82,3.9,3.2,Nenhum,Na Fontana  di Trevi. A Anita  Ekberg  portuguesa  do filme La  Dolce Vita.,fundo,9.0,-48.8,,
85,f0074,foto,Clara,21-26.JPG,3.7,0.7,292.12,295.82,3.0,2.3,Zoom in,Em Florença,fiel,5.0,-26.0,,
86,f0075,foto,Clara,21-28.jpeg,3.7,0.7,295.12,298.82,3.0,2.3,Zoom in,Em Londres,fundo,5.0,-26.0,,
87,f0080,foto,Clara,21-32.jpg,3.7,0.7,298.12,301.82,3.0,2.3,Zoom in,Em Nova York,fundo,5.0,-26.0,,
88,f0268,foto,Clara,IMG_3835.jpg,4.38,0.7,301.12,305.5,3.68,2.98,Zoom in,"Em Lanzarote, com Pilar del Río.",fiel,8.0,-45.3,,
89,f0228,foto,Clara,9-24-8.JPG,4.15,0.7,304.8,308.95,3.45,2.75,Zoom in,"Passeia muito, mas está sempre  conectada com o mundo do trabalho.",fiel,7.0,-40.7,,
90,f0227,foto,Clara,9-24-7.JPG,4.15,0.7,308.25,312.4,3.45,2.75,Zoom in,"Numa viagem de comboio, em férias.",fiel,7.0,-40.7,,
91,f0274,foto,Clara,IMG_4477.JPG,4.15,0.7,311.7,315.85,3.45,2.75,Zoom in,"Férias 2026, nas ilhas também  se costuma trabalhar bem...",fiel,7.0,-40.7,,
92,f0081,foto,Clara,21-38.jpg,0.56,0.0,315.85,316.41,0.56,0.56,Nenhum,Caminhadas pelo Parque das  Serras do Porto,rajada,5.0,-88.8,,
93,f0082,foto,Clara,21-39.jpg,0.56,0.0,316.41,316.97,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
94,f0085,foto,Clara,21-41.JPG,0.56,0.0,316.97,317.53,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
95,f0086,foto,Clara,21-42.JPG,0.56,0.0,317.53,318.09,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
96,f0087,foto,Clara,21-43.JPG,0.56,0.0,318.09,318.65,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
97,f0088,foto,Clara,21-44.JPG,0.56,0.0,318.65,319.21,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
98,f0102,foto,Clara,21-45.JPG,0.56,0.0,319.21,319.77,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
99,f0224,foto,Clara,9-24-2.JPG,0.56,0.0,319.77,320.33,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
100,,cartao,Familia,,3.7,0.7,319.63,323.33,3.0,2.3,,Família,fiel,5.0,-26.0,,
101,f0013,foto,Familia,10-1 (2).jpg,4.15,0.7,322.63,326.78,3.45,2.75,Nenhum,Com o pai. Era pequenina  e já lhe dava ouras...,fiel,7.0,-40.7,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
102,f0014,foto,Familia,10-2.jpg,3.7,0.7,326.08,329.78,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
103,f0016,foto,Familia,10-4.jpg,3.7,0.7,329.08,332.78,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
104,f0015,foto,Familia,10-3.jpg,3.7,0.7,332.08,335.78,3.0,2.3,Nenhum,,fundo,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
105,f0017,foto,Familia,10-5.JPG,4.15,0.7,335.08,339.23,3.45,2.75,Zoom in,"""Pai, põe a mochila, depois levas o skate...""",fiel,7.0,-40.7,,
106,f0033,foto,Familia,11.jpg,3.7,0.7,338.53,342.23,3.0,2.3,Zoom in,Com a mãe,fiel,5.0,-26.0,,
107,f0173,foto,Familia,69916331_2555139434539758_2920736718019624960_n.jpg,3.93,0.7,341.53,345.46,3.23,2.53,Zoom in,,fiel,6.0,-34.6,,
108,f0027,foto,Familia,11-4.JPG,3.7,0.7,344.76,348.46,3.0,2.3,Zoom in,Com o Henrique (o mano),fiel,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
109,f0028,foto,Familia,11-5.jpg,3.93,0.7,347.76,351.69,3.23,2.53,Zoom in,Com o Henrique (o mano),fiel,6.0,-34.6,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
110,f0029,foto,Familia,11-6.jpg,3.7,0.7,350.99,354.69,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
111,f0030,foto,Familia,11-7.jpg,3.7,0.7,353.99,357.69,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
112,f0031,foto,Familia,11-8.jpg,3.7,0.7,356.99,360.69,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
113,f0032,foto,Familia,11-9.jpg,3.93,0.7,359.99,363.92,3.23,2.53,Zoom in,,fiel,6.0,-34.6,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
114,f0021,foto,Familia,11-10.JPG,3.7,0.7,363.22,366.92,3.0,2.3,Zoom in,,fiel,5.0,-26.0,,"corrida duvidosa: relacao mas repetitiva, decidir se vai a rajada"
115,f0022,foto,Familia,11-12.JPG,5.39,0.7,366.22,371.61,4.69,3.99,Nenhum,"Em Viena:   -Estas sobremesas são bem instagramáveis!   -Demoramos menos tempo a comê-las, do que a         fotografá-las...",fiel,12.5,-56.8,,
116,f0023,foto,Familia,11-13.jpg,4.6,0.7,370.91,375.51,3.9,3.2,Zoom in,"-Clara, gostas dessa    canção do Ed Sheeran? -Gosto! -Então não a estragues...",fiel,9.0,-48.8,,
117,f0270,foto,Familia,IMG_4224.JPG,4.6,0.7,374.81,379.41,3.9,3.2,Nenhum,"O pai: -Clara, já vais outra vez em excesso                             de velocidade! O irmão: -Ela é uma Fora-da-Lei...",fiel,9.0,-48.8,,
118,f0024,foto,Familia,11-14.jpg,4.15,0.7,378.71,382.86,3.45,2.75,Zoom in,Com o mano  e a mãe,fiel,7.0,-40.7,,
119,f0025,foto,Familia,11-15.jpg,3.7,0.7,382.16,385.86,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
120,f0026,foto,Familia,11-20.jpg,4.15,0.7,385.16,389.31,3.45,2.75,Zoom in,E com o pai,fiel,7.0,-40.7,,
121,f0095,foto,Familia,21-45-2.jpg,4.15,0.7,388.61,392.76,3.45,2.75,Zoom in,Com os padrinhos de batismo  e de casamento,fiel,7.0,-40.7,,
122,f0097,foto,Familia,21-45-4.jpg,4.83,0.7,392.06,396.89,4.13,3.43,Nenhum,Com a família materna,fiel,10.0,-51.7,,
123,f0098,foto,Familia,21-45-5.JPG,4.83,0.7,396.19,401.02,4.13,3.43,Nenhum,,fiel,10.0,-51.7,,
124,f0096,foto,Familia,21-45-3.JPG,4.15,0.7,400.32,404.47,3.45,2.75,Zoom in,,fiel,7.0,-40.7,,
125,f0099,foto,Familia,21-45-6.jpg,4.83,0.7,403.77,408.6,4.13,3.43,Nenhum,Com a família paterna,fiel,10.0,-51.7,,
126,f0100,foto,Familia,21-45-8.jpg,4.83,0.7,407.9,412.73,4.13,3.43,Zoom in,No casamento do primo Filipe,fiel,10.0,-51.7,,
127,f0101,foto,Familia,21-45-9.jpg,4.83,0.7,412.03,416.86,4.13,3.43,Zoom in,No 99.º Aniversário da avó  Maria dos Anjos,fiel,10.0,-51.7,,
128,,cartao,Amigos e colegas,,3.7,0.7,416.16,419.86,3.0,2.3,,Amigos e colegas,fiel,5.0,-26.0,,
129,f0299,foto,Amigos e colegas,WhatsApp Image 2021-11-15 at 18.54.22.jpeg,3.93,0.7,419.16,423.09,3.23,2.53,Nenhum,Com amigos da Secundária...,fiel,6.0,-34.6,,
130,f0332,foto,,2011_Tiago_e_clara_aniversario_CLARA_POUCO_ANTES_DE_COMEÇAR_A_NAMORAR.jpg,4.6,0.7,422.39,426.99,3.9,3.2,Zoom in,"2011, antes de namorarem",fiel,,,,encadeamento 7: Os amigos do secundario ja eram os mesmos
131,f0335,foto,,2013_Tiago_Na_latada_da_Clara_amigos secundario.jpg,4.2,0.7,426.29,430.49,3.5,2.8,Zoom in,"2013, na latada dela",fiel,,,,encadeamento 7: Os amigos do secundario ja eram os mesmos
132,f0336,foto,,2015_CLARA_TIAGO_AMIGOS_SECUNDARIO.jpg,4.2,0.7,429.79,433.99,3.5,2.8,Zoom in,2015,fiel,,,,encadeamento 7: Os amigos do secundario ja eram os mesmos
133,f0340,foto,,2016_CLARA_TIAGO_AMIGOS_SECUNDARIO.jpg,4.2,0.7,433.29,437.49,3.5,2.8,Zoom in,2016,fiel,,,,encadeamento 7: Os amigos do secundario ja eram os mesmos
134,f0245,foto,Amigos e colegas,DSC02999.JPG,3.7,0.7,436.79,440.49,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
135,f0290,foto,Amigos e colegas,IMG_9013.JPG,3.93,0.7,439.79,443.72,3.23,2.53,Zoom in,E da Faculdade,fundo,6.0,-34.6,,
136,f0055,foto,Amigos e colegas,21-1.JPG,3.93,0.7,443.02,446.95,3.23,2.53,Zoom in,Com as amigas de sempre,fundo,6.0,-34.6,,
137,f0089,foto,Amigos e colegas,21-45-10.jpg,4.15,0.7,446.25,450.4,3.45,2.75,Nenhum,,fiel,7.0,-40.7,,
138,f0090,foto,Amigos e colegas,21-45-11.jpg,4.38,0.7,449.7,454.08,3.68,2.98,Nenhum,Farmácia vs Direito vs Bioquímica vs Engenharia,fiel,8.0,-45.3,,
139,,cartao,Colegas de trabalho (dela),,3.7,0.7,453.38,457.08,3.0,2.3,,Colegas de trabalho,fiel,5.0,-26.0,,
140,f0091,foto,Colegas de trabalho (dela),21-45-16.jpeg,0.56,0.0,457.08,457.64,0.56,0.56,Nenhum,,rajada,6.0,-90.6,,
141,f0047,foto,Colegas de trabalho (dela),200_ML_FestaNatal2022.jpg,0.56,0.0,457.64,458.2,0.56,0.56,Nenhum,,rajada,6.0,-90.6,,
142,f0241,foto,Colegas de trabalho (dela),content.jpg,0.56,0.0,458.2,458.76,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
143,f0242,foto,Colegas de trabalho (dela),content5.jpg,0.56,0.0,458.76,459.32,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
144,f0168,foto,Colegas de trabalho (dela),499_ML_FestaNatal2024.jpg,0.56,0.0,459.32,459.88,0.56,0.56,Nenhum,,rajada,6.0,-90.6,,
145,f0259,foto,Colegas de trabalho (dela),IMG_1475.jpeg,0.56,0.0,459.88,460.44,0.56,0.56,Nenhum,,rajada,5.0,-88.8,,
146,f0092,foto,Colegas de trabalho (dela),21-45-17.jpeg,4.15,0.7,459.74,463.89,3.45,2.75,Nenhum,A  verdadeira  Claque do FCP,fundo,7.0,-40.7,,
147,f0093,foto,Colegas de trabalho (dela),21-45-18.jpeg,4.15,0.7,463.19,467.34,3.45,2.75,Zoom in,A  verdadeira  Claque do FCP,fundo,7.0,-40.7,,
148,f0262,foto,Colegas de trabalho (dela),IMG_2601.jpeg,3.93,0.7,466.64,470.57,3.23,2.53,Zoom in,,fiel,6.0,-34.6,,
149,f0300,foto,Colegas de trabalho (dela),WhatsApp Image 2025-10-10 at 14.45.56 (1).jpeg,3.7,0.7,469.87,473.57,3.0,2.3,Zoom in,A Task Force  de Corporate,fundo,5.0,-26.0,,
150,f0301,foto,Colegas de trabalho (dela),WhatsApp Image 2025-10-10 at 14.45.56.jpeg,3.7,0.7,472.87,476.57,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
151,f0285,foto,Colegas de trabalho (dela),IMG_7886.jpeg,3.7,0.7,475.87,479.57,3.0,2.3,Nenhum,Hora de almoço,fiel,5.0,-26.0,,
152,f0094,foto,Colegas de trabalho (dela),21-45-19.jpg,3.7,0.7,478.87,482.57,3.0,2.3,Zoom in,Com a Inês,fiel,5.0,-26.0,,
153,f0167,foto,Colegas de trabalho (dela),448_ML_FestaNatal2024.jpg,3.7,0.7,481.87,485.57,3.0,2.3,Zoom in,Com a Francisca,fiel,5.0,-26.0,,
154,f0240,foto,Colegas de trabalho (dela),b0773331-cf53-4b1c-bb33-9cbe08cb4031.jpeg,3.7,0.7,484.87,488.57,3.0,2.3,Zoom in,,fundo,4.0,-7.5,,
155,,cartao,Tiago,,4.15,0.7,487.87,492.02,3.45,2.75,,Tiago,fiel,7.0,-40.7,,
156,,cartao,Tiago,,4.6,0.7,491.32,495.92,3.9,3.2,,"Era uma vez  um menino loiro,  de olhos azuis, que também nasceu  em 1995.",fiel,9.0,-48.8,,
157,f0103,foto,Tiago,21-46.jpg,4.15,0.7,495.22,499.37,3.45,2.75,Zoom in,Foi o  segundo filho,fundo,7.0,-40.7,,
158,f0104,foto,Tiago,21-47.jpg,4.15,0.7,498.67,502.82,3.45,2.75,Zoom in,E era amoroso,fundo,7.0,-40.7,,
159,f0105,foto,Tiago,21-48.jpg,4.15,0.7,502.12,506.27,3.45,2.75,Zoom in,"Com a mãe, o mano e as primas.",fiel,7.0,-40.7,,
160,f0153,foto,Tiago,21-49.jpg,3.7,0.7,505.57,509.27,3.0,2.3,Zoom in,E com o pai,fiel,5.0,-26.0,,
161,f0115,foto,Tiago,21-49-2.jpg,3.7,0.7,508.57,512.27,3.0,2.3,Zoom in,Com a avó Orquídia,fundo,5.0,-26.0,,
